title,audienceRating,contentRating,duration,durationHuman,rating,studio,tagline,year,media.audioChannels,media.bitrate,media.hdr,media.videoCodec,media.videoFrameRate,media.videoResolution,media.width
Cloudy with a Chance of Meatballs,6,PG,5393384,1 hr 30 mins,,Columbia Pictures,Prepare to get served.,2009,6,5293,FALSE,hevc,24p,1080,1920
Cloudy with a Chance of Meatballs 2,6.6,PG,5689704,1 hr 35 mins,7.1,Columbia Pictures,Something big was leftover.,2013,6,5393,FALSE,hevc,24p,1080,1920
Coco,9.4,PG,6302119,1 hr 45 mins,9.7,Walt Disney Pictures,The celebration of a lifetime,2017,8,5437,FALSE,hevc,24p,1080,1920
The Croods,7.7,PG,5916925,1 hr 39 mins,7.2,DreamWorks Animation,Meet the first modern family.,2013,8,6952,FALSE,hevc,24p,1080,1920
The Croods: A New Age,9.4,PG,5714643,1 hr 35 mins,7.7,Universal Pictures,The future ain't what it used to be.,2020,8,6799,FALSE,hevc,24p,1080,1920
D2: The Mighty Ducks,5.9,PG,6400425,1 hr 47 mins,2.1,Avnet/Kerner Productions,The Puck Stops Here!,1994,6,8496,FALSE,hevc,24p,1080,1920
D3: The Mighty Ducks,4.5,PG,6231251,1 hr 44 mins,2,Avnet/Kerner Productions,No Fear. No Limits. No Brakes. Just Ducks.,1996,6,6802,FALSE,hevc,24p,1080,1912
Dennis the Menace,3.8,PG,5755708,1 hr 36 mins,2.7,Hughes Entertainment,He's armed... He's adorable... And he's out of school for the entire summer.,1993,2,4487,FALSE,hevc,24p,1080,1912
Despicable Me,8.3,PG,5681684,1 hr 35 mins,8.1,Universal Pictures,Superbad. Superdad.,2010,6,4762,FALSE,hevc,24p,1080,1920
Despicable Me 2,8.5,PG,5878760,1 hr 38 mins,7.5,Universal Pictures,Back 2 Work,2013,6,5145,FALSE,hevc,24p,1080,1920
Despicable Me 3,5.3,PG,5380434,1 hr 30 mins,5.9,Universal Pictures,Oh brother.,2017,8,5189,FALSE,hevc,24p,1080,1920
Doctor Dolittle,3.5,PG-13,5122442,1 hr 25 mins,4.1,20th Century Fox,He doesn't just talk to the animals!,1998,6,2225,FALSE,hevc,24p,1080,1920
Dora and the Lost City of Gold,8.8,PG,6147155,1 hr 42 mins,8.5,Nickelodeon Movies,Explorer is her middle name.,2019,8,6690,FALSE,hevc,24p,1080,1920
Dr. Dolittle 2,2.6,PG,5242571,1 hr 27 mins,4.2,Joseph M. Singer Entertainment,The doctor is in again.,2001,6,2224,FALSE,hevc,24p,1080,1920
Dumbo,7,G,3836884,1 hr 4 mins,9.8,Walt Disney Productions,The One...The Only...The FABULOUS...,1941,6,2225,FALSE,hevc,24p,1080,1436
E.T. the Extra-Terrestrial,7.2,PG,6875881,1 hr 55 mins,9.9,Universal Pictures,He is afraid. He is alone. He is three million light years from home.,1982,8,5563,FALSE,hevc,24p,1080,1920
Elf,7.9,PG,5803218,1 hr 37 mins,8.5,New Line Cinema,"This holiday, discover your inner elf.",2003,6,6459,FALSE,hevc,24p,1080,1920
The Emperor's New Groove,8.3,G,4715784,1 hr 19 mins,8.6,Walt Disney Pictures,It's all about... ME!,2000,6,2220,FALSE,hevc,24p,1080,1816
Encanto,9.3,PG,6127059,1 hr 42 mins,9.1,Walt Disney Pictures,There's a little magic in all of us ...almost all of us.,2021,8,6619,FALSE,hevc,24p,1080,1920
An Extremely Goofy Movie,4.8,G,4746793,1 hr 19 mins,6.3,Disney Television Animation,,2000,6,4463,FALSE,hevc,24p,1080,1920
Fantasia,8.3,G,7467520,2 hrs 4 mins,9.5,Walt Disney Pictures,The most sensational sound you'll ever see!,1941,6,6369,FALSE,hevc,24p,1080,1432
Fantasia 2000,7.5,G,4472767,1 hr 15 mins,8.1,Walt Disney Pictures,"Featuring Seven new Sequences plus ""The Sorcerer's Apprentice""",1999,6,2224,FALSE,hevc,24p,1080,1920
Fantastic Mr. Fox,8.5,PG,5220348,1 hr 27 mins,9.3,Regency Enterprises,Dig the life fantastic!,2009,6,5516,FALSE,hevc,24p,1080,1920
Finding Dory,8.4,PG,5823740,1 hr 37 mins,9.4,Pixar,An unforgettable journey she probably won't remember.,2016,8,6691,FALSE,hevc,24p,1080,1920
Finding Nemo,8.6,G,6053972,1 hr 41 mins,9.9,Pixar,There are 3.7 trillion fish in the ocean. They're looking for one.,2003,8,6642,FALSE,hevc,24p,1080,1920
The Fox and the Hound,7.8,G,4981054,1 hr 23 mins,7,Walt Disney Productions,A story of two friends who didn't know they were supposed to be enemies.,1981,6,2222,FALSE,hevc,24p,1080,1800
Freaky Friday,5.7,PG,5815559,1 hr 37 mins,8.8,Walt Disney Pictures,Mondays are manic. Wednesdays are wild. And Fridays are about to get a little freaky.,2003,6,5558,FALSE,hevc,24p,1080,1920
Fred 2: Night of the Living Fred,3.6,G,4971305,1 hr 23 mins,,"Collective, The","Grab some garlic, Fred's going vampire hunting!",2011,6,2723,FALSE,h264,24p,1080,1920
Fred 3: Camp Fred,4.4,PG,4827912,1 hr 20 mins,,Varsity Pictures,Fred's gotta go... to Camp Iwannapeepee!,2012,6,2724,FALSE,h264,24p,1080,1920
Fred Claus,4.5,PG,6933865,1 hr 56 mins,2.1,Warner Bros. Pictures,Everybody has that one relative who can't help but cause problems over the holidays. Even Santa.,2007,6,2225,FALSE,hevc,24p,1080,1920
Fred: The Movie,3.8,PG,4967088,1 hr 23 mins,,Derf Films,The epic journey to find Judy!,2010,6,2223,FALSE,hevc,24p,1080,1920
Free Willy,4.9,PG,6704287,1 hr 52 mins,7.1,Canal+,How far would you go for a friend?,1993,6,2225,FALSE,hevc,24p,1080,1920
Frosty the Snowman,7.2,G,1521619,25 mins,7.3,Rankin/Bass Productions,,1969,6,5264,FALSE,hevc,24p,1080,1440
Frozen,8.5,PG,6133075,1 hr 42 mins,9,Walt Disney Pictures,Only the act of true love will thaw a frozen heart.,2013,8,4871,FALSE,hevc,24p,1080,1920
Frozen II,9.2,PG,6194046,1 hr 43 mins,7.7,Walt Disney Pictures,The past is not what it seems.,2019,8,5083,FALSE,hevc,24p,1080,1920
The Game Plan,6.9,PG,6615026,1 hr 50 mins,2.9,Walt Disney Pictures,"Half his size, twice the trouble ... and she's moving in.",2007,6,2224,FALSE,hevc,24p,1080,1920
Good Burger,6.3,PG,5718295,1 hr 35 mins,3.3,Paramount,A comedy with everything on it.,1997,6,5355,FALSE,hevc,24p,1080,1920
The Good Dinosaur,6.4,PG,5618642,1 hr 34 mins,7.6,Pixar,Little Arms With Big Attitude,2015,8,5679,FALSE,hevc,24p,1080,1920
A Goofy Movie,7,G,4660704,1 hr 18 mins,6.1,Walt Disney Pictures,It’s hard to be cool... when your dad’s Goofy.,1995,2,4145,FALSE,hevc,24p,1080,1920
Goosebumps,6.2,PG,6196201,1 hr 43 mins,7.8,Columbia Pictures,The stories are alive.,2015,8,4323,FALSE,hevc,24p,1080,1920
Goosebumps 2: Slappy's Revenge,3.6,PG,5388393,1 hr 30 mins,4.7,Columbia Pictures,Halloween comes to life.,2018,6,5208,FALSE,hevc,24p,1080,1920
The Great Mouse Detective,7.8,G,4456489,1 hr 14 mins,7.9,Walt Disney Pictures,London's crime-fighting ace on his most baffling case!,1986,6,2224,FALSE,hevc,24p,1080,1920
Happy Feet,7,PG,6512256,1 hr 49 mins,7.6,Kennedy Miller Productions,WARNING: May Cause Toe-Tapping.,2006,6,2224,FALSE,hevc,24p,1080,1920
Happy Feet Two,6,PG,5971007,1 hr 40 mins,4.5,Warner Bros. Entertainment,Every step counts.,2011,6,2224,FALSE,hevc,24p,1080,1920
The Haunted Mansion,3,PG,5276842,1 hr 28 mins,1.4,Walt Disney Pictures,Check your pulse at the door... if you have one.,2003,6,2224,FALSE,hevc,24p,1080,1920
Hercules,7.6,G,5592296,1 hr 33 mins,8.4,Walt Disney Pictures,Zero to hero!,1997,6,2225,FALSE,hevc,24p,1080,1920
Hocus Pocus,7.1,PG,5776808,1 hr 36 mins,3.9,Walt Disney Pictures,It's just a bunch of Hocus Pocus.,1993,6,4983,FALSE,hevc,24p,1080,1920
Holes,7.6,PG,7049086,1 hr 57 mins,7.8,Walt Disney Pictures,Some secrets are too big to keep hidden.,2003,6,5529,FALSE,hevc,24p,1080,1920
Home,6.4,PG,5628179,1 hr 34 mins,5.2,DreamWorks Animation,Worlds Collide,2015,8,5590,FALSE,hevc,24p,1080,1920
Home Alone,8,PG,6173692,1 hr 43 mins,6.7,20th Century Fox,A family comedy without the family.,1990,6,6553,FALSE,hevc,24p,1080,1920
Home Alone 2: Lost in New York,6.2,PG,7201427,2 hrs,3.5,20th Century Fox,He's up past his bedtime in the city that never sleeps.,1992,6,6594,FALSE,hevc,24p,1080,1920
Home Alone 3,2.7,PG,6143680,1 hr 42 mins,2.9,20th Century Fox,Ready for more. Much more.,1997,6,2225,FALSE,hevc,24p,1080,1920
Hook,7.6,PG,8505513,2 hrs 22 mins,2.9,Amblin Entertainment,What if Peter Pan grew up?,1991,6,6590,FALSE,hevc,24p,1080,1920
Hotel Transylvania,7.2,PG,5491538,1 hr 32 mins,4.4,Columbia Pictures,Even monsters need a vacation,2012,6,6126,FALSE,hevc,24p,1080,1920
Hotel Transylvania 2,6.3,PG,5358418,1 hr 29 mins,5.5,Columbia Pictures,They're back to raise a little terror,2015,6,5045,FALSE,hevc,24p,1080,1920
Hotel Transylvania 3: Summer Vacation,4.8,PG,5843410,1 hr 37 mins,6.2,Columbia Pictures,Family vacation. It will suck the life out of you.,2018,6,4834,FALSE,hevc,24p,1080,1920
Hotel Transylvania 4: Transformania,4.5,PG,5251936,1 hr 28 mins,4.9,Columbia Pictures,Change can be scary.,2022,6,3494,FALSE,hevc,24p,1080,1920
How the Grinch Stole Christmas,5.6,PG,6303143,1 hr 45 mins,4.9,Imagine Entertainment,He puts the mean in green.,2000,6,7199,FALSE,hevc,24p,1080,1920
How the Grinch Stole Christmas!,9.5,Not Rated,1545085,26 mins,10,MGM Television,"You're a mean one, Mr. Grinch",1966,2,5708,FALSE,hevc,24p,1080,1480
How to Train Your Dragon,9.1,PG,5871101,1 hr 38 mins,9.9,DreamWorks Animation,One adventure will change two worlds,2010,6,5779,FALSE,hevc,24p,1080,1920
How to Train Your Dragon 2,8.9,PG,6115134,1 hr 42 mins,9.2,DreamWorks Animation,The training is over.,2014,8,5708,FALSE,hevc,24p,1080,1920
How to Train Your Dragon: The Hidden World,8.6,PG,6246141,1 hr 44 mins,9,DreamWorks Animation,The friendship of a lifetime,2019,8,6471,FALSE,hevc,24p,1080,1920
Hugo,7.8,PG,7581054,2 hrs 6 mins,9.3,Paramount,One of the most legendary directors of our time takes you on an extraordinary adventure.,2011,8,4845,FALSE,hevc,24p,1080,1892
The Hunchback of Notre Dame,7,G,5458684,1 hr 31 mins,7.2,Walt Disney Pictures,Join the party!,1996,6,8471,FALSE,hevc,24p,1080,1920
Ice Age,8.2,PG,4869908,1 hr 21 mins,7.7,20th Century Fox,They came. They thawed. They conquered.,2002,6,5391,FALSE,hevc,24p,1080,1920
The Ice Age Adventures of Buck Wild,3.9,PG,4865536,1 hr 21 mins,1.7,Walt Disney Pictures,Disney+ gets wild.,2022,6,4638,FALSE,hevc,24p,1080,1920
Ice Age: Collision Course,3.9,PG,5672744,1 hr 35 mins,1.8,20th Century Fox,One small step. One giant mess.,2016,8,5950,FALSE,hevc,24p,1080,1920
Ice Age: Continental Drift,6.2,PG,5264717,1 hr 28 mins,3.7,20th Century Fox,The End of the World is Just the Tip of the Iceberg.,2012,6,5914,FALSE,hevc,24p,1080,1920
Ice Age: Dawn of the Dinosaurs,6.2,PG,5643305,1 hr 34 mins,4.6,20th Century Fox,You Won't Believe Your Ice!,2009,8,5755,FALSE,hevc,24p,1080,1920
Ice Age: The Meltdown,7.1,PG,5435987,1 hr 31 mins,5.7,20th Century Fox,Kiss Your Nuts Goodbye,2006,6,5501,FALSE,hevc,24p,1080,1920
The Incredibles,7.5,PG,6925906,1 hr 55 mins,9.7,Walt Disney Pictures,"No gut, no glory",2004,6,3472,FALSE,hevc,24p,1080,1920
Incredibles 2,8.4,PG,7070247,1 hr 58 mins,9.3,Walt Disney Pictures,Back to work.,2018,8,6138,FALSE,hevc,24p,1080,1920
Inside Out,8.9,PG,5677906,1 hr 35 mins,9.8,Walt Disney Pictures,Meet the little voices inside your head.,2015,8,6271,FALSE,hevc,24p,1080,1920
Inspector Gadget,1.8,PG,4700488,1 hr 18 mins,2,Walt Disney Pictures,The greatest hero ever assembled.,1999,6,2223,FALSE,hevc,24p,1080,1916
Inspector Gadget 2,2.2,G,5320983,1 hr 29 mins,4,Walt Disney Pictures,Inspect the unexpected.,2003,6,2224,FALSE,hevc,24p,1080,1920
The Iron Giant,9,PG,5398590,1 hr 30 mins,9.6,Warner Bros. Pictures,It came from outer space!,1999,6,5055,FALSE,hevc,24p,1080,1920
It's a Mad Mad Mad Mad World,8.3,G,9807456,2 hrs 43 mins,7.1,United Artists,"The comedy event of the century, In glorious 70mm!",1963,6,6834,FALSE,hevc,24p,1080,1920
Jack Frost,4,PG,6088124,1 hr 41 mins,1.9,Warner Bros. Pictures,Jack Frost is getting a second chance to be the world's coolest dad... if he doesn't melt first.,1998,6,2224,FALSE,hevc,24p,1080,1916
James and the Giant Peach,6.5,PG,4765075,1 hr 19 mins,9.1,Walt Disney Pictures,Adventures this big don't grow on trees.,1996,6,5596,FALSE,hevc,24p,1080,1804
Jingle All the Way,3.8,PG,5372883,1 hr 30 mins,1.9,1492 Pictures,"Two dads, one toy, no prisoners.",1996,6,7229,FALSE,hevc,24p,1080,1920
The Jungle Book,8.2,G,4707240,1 hr 18 mins,8.8,Walt Disney Productions,The Jungle is JUMPIN'!,1967,8,6048,FALSE,hevc,24p,1080,1888
The Karate Kid,8.2,PG,7614717,2 hrs 7 mins,8.9,Columbia Pictures,Only the 'Old One' could teach him the secrets of the masters.,1984,6,6764,FALSE,hevc,24p,1080,1920
The Karate Kid,6.7,PG,8401406,2 hrs 20 mins,6.6,Columbia Pictures,A Challenge He Never Imagined. A Teacher He Never Expected.,2010,6,6472,FALSE,hevc,24p,1080,1920
The Karate Kid Part II,5.1,PG,6793811,1 hr 53 mins,4.4,Columbia Pictures,"This time, the combat is real.",1986,6,6432,FALSE,hevc,24p,1080,1920
The Karate Kid Part III,3.5,PG,6742760,1 hr 52 mins,1.5,Columbia Pictures,"First it was teacher to student. Then it was father to son. Now, it's man to man.",1989,6,6657,FALSE,hevc,24p,1080,1920
Kazaam,2,PG,5614784,1 hr 34 mins,0.5,Universal Pictures,The world's most powerful genie has just met his match,1996,2,5870,FALSE,hevc,24p,1080,1912
A Kid in King Arthur's Court,2.7,PG,5405150,1 hr 30 mins,0.5,Walt Disney Pictures,Joust Do It.,1995,2,2224,FALSE,hevc,24p,1080,1920
Kung Fu Panda,8.3,PG,5529554,1 hr 32 mins,8.7,DreamWorks Animation,Prepare for awesomeness.,2008,6,4265,FALSE,hevc,24p,1080,1920
Kung Fu Panda 2,7.4,PG,5424040,1 hr 30 mins,8,DreamWorks Animation,Prepare for the Year of Awesomeness!,2011,8,4175,FALSE,hevc,24p,1080,1920
Kung Fu Panda 3,7.8,PG,5694718,1 hr 35 mins,8.6,DreamWorks Animation,Grab destiny by the rice dumplings.,2016,8,5621,FALSE,hevc,24p,1080,1920
Lady and the Tramp,8,G,4583663,1 hr 16 mins,9.3,Walt Disney Productions,She's from the leash and license set... he's footloose and collar free!,1955,6,2224,FALSE,hevc,24p,1080,1920
The Lego Batman Movie,8,PG,6270161,1 hr 45 mins,9,Warner Bros. Pictures,Always be yourself. Unless you can be Batman.,2017,8,3293,FALSE,hevc,24p,1080,1920
The Lego Movie,8.7,PG,6035410,1 hr 41 mins,9.6,Village Roadshow Pictures,The story of a nobody who saved everybody.,2014,6,2917,FALSE,hevc,24p,1080,1920
The Lego Movie 2: The Second Part,6.8,PG,6429522,1 hr 47 mins,8.4,Vertigo Entertainment,They come in pieces,2019,8,5133,FALSE,hevc,24p,1080,1920
The Lego Ninjago Movie,4.6,PG,6086633,1 hr 41 mins,5.5,Warner Bros. Pictures,Find your inner piece.,2017,8,3924,FALSE,hevc,24p,1080,1920
Lightyear,8.4,PG,6304768,1 hr 45 mins,7.5,Walt Disney Pictures,Infinity awaits.,2022,6,10645,FALSE,h264,24p,1080,1920
Like Mike,5.2,PG,6008074,1 hr 40 mins,5.7,20th Century Fox,"Think like Mike, Achieve like Mike, Be Like Mike.",2002,6,2224,FALSE,hevc,24p,1080,1920
Lilo & Stitch,7.7,PG,5122176,1 hr 25 mins,8.7,Walt Disney Pictures,There's one in every family.,2002,6,3767,FALSE,hevc,24p,1080,1816
The Lion King,9.3,G,5303634,1 hr 28 mins,9.3,Walt Disney Pictures,Life's greatest adventure is finding your place in the Circle of Life.,1994,8,4344,FALSE,hevc,24p,1080,1920
The Little Mermaid,8.8,G,4968786,1 hr 23 mins,9.3,Walt Disney Pictures,Somewhere under the sea and beyond your imagination is an adventure in fantasy.,1989,8,5777,FALSE,hevc,24p,1080,1920
Luca,8.6,PG,5715113,1 hr 35 mins,9.1,Walt Disney Pictures,Prepare for an unforgettable trip.,2021,8,6481,FALSE,hevc,24p,1080,1920
Madagascar,6.6,PG,5158195,1 hr 26 mins,5.4,DreamWorks Pictures,Someone’s got a zoo loose.,2005,6,2224,FALSE,hevc,24p,1080,1920
Madagascar 3: Europe's Most Wanted,7.2,PG,5604275,1 hr 33 mins,7.8,Pacific Data Images,They Have One Shot to Get Back Home.,2012,6,2224,FALSE,hevc,24p,1080,1920
Madagascar: Escape 2 Africa,6.6,PG,5364484,1 hr 29 mins,6.4,Pacific Data Images,Still together. Still lost!,2008,6,2223,FALSE,hevc,24p,1080,1920
Mary Poppins,8.6,G,8346449,2 hrs 19 mins,9.6,Walt Disney Productions,It's supercalifragilisticexpialidocious!,1964,8,5508,FALSE,hevc,24p,1080,1792
Mary Poppins Returns,6.5,PG,7829225,2 hrs 10 mins,8,Walt Disney Pictures,Magic Always Returns.,2018,8,5348,FALSE,hevc,24p,1080,1920
Matilda,7.3,PG,5888978,1 hr 38 mins,9.1,Jersey Films,A little magic goes a long way.,1996,6,8291,FALSE,hevc,24p,1080,1920
Max Keeble's Big Move,3.8,G,5184263,1 hr 26 mins,2.9,Walt Disney Pictures,His World. His Rules.,2001,6,2223,FALSE,hevc,24p,1080,1920
Meet the Robinsons,7.4,G,5706643,1 hr 35 mins,6.7,Walt Disney Pictures,Think your family's weird?,2007,6,4709,FALSE,hevc,24p,1080,1920
Megamind,7.2,PG,5734771,1 hr 36 mins,7.2,Pacific Data Images,His brain is off the chain.,2010,6,2224,FALSE,hevc,24p,1080,1920
The Mighty Ducks,6.5,PG,6217278,1 hr 44 mins,2.1,Touchwood Pacific Partners 1,They can't skate. They can't win. They can't be serious.,1992,6,5024,FALSE,hevc,24p,1080,1920
Mighty Morphin Power Rangers: The Movie,5.6,PG,5741024,1 hr 36 mins,3.4,20th Century Fox,The Power Is On!,1995,6,8279,FALSE,hevc,24p,1080,1920
Minions,4.9,PG,5458003,1 hr 31 mins,5.5,Universal Pictures,"Before Gru, they had a history of bad bosses",2015,8,7622,FALSE,hevc,24p,1080,1920
Minions: The Rise of Gru,8.9,PG,5255917,1 hr 28 mins,7.1,Universal Pictures,A villain will rise.,2022,6,10076,FALSE,h264,24p,1080,1920
Miracle on 34th Street,8.7,Not Rated,5784530,1 hr 36 mins,9.6,20th Century Fox,Capture the spirit of Christmas with this timeless classic!,1947,6,7205,FALSE,hevc,24p,1080,1480
Moana,8.9,PG,6432893,1 hr 47 mins,9.5,Walt Disney Pictures,The ocean is calling.,2016,8,6430,FALSE,hevc,24p,1080,1920
Monsters University,8.1,G,6227794,1 hr 44 mins,8,Walt Disney Pictures,School never looked this scary.,2013,8,5969,FALSE,hevc,24p,1080,1920
